id,Parameter1,Parameter2,bnf,type
81,mapreduce.reduce.markreset.buffer.percent,mapreduce.reduce.java.opts,mapreduce.reduce.markreset.buffer.percent > 0.5 => mapreduce.reduce.java.opts > -Xmx2048m,behavior
17,mapreduce.reduce.merge.inmem.threshold,mapreduce.reduce.shuffle.merge.percent,mapreduce.reduce.merge.inmem.threshold <= 0 => mapreduce.reduce.shuffle.merge.percent = 0.66,behavior
41,mapreduce.reduce.shuffle.parallelcopies,mapreduce.reduce.shuffle.input.buffer.percent,mapreduce.reduce.shuffle.parallelcopies > 5 => mapreduce.reduce.shuffle.input.buffer.percent > 0.70,behavior
206,mapreduce.jobhistory.move.thread-count,mapreduce.jobhistory.move.interval,mapreduce.jobhistory.move.thread-count > 5 => mapreduce.jobhistory.move.interval < 1000,behavior
47,mapreduce.map.memory.mb,mapreduce.map.java.opts,"mapreduce.map.memory.mb > 0 => mapreduce.map.java.opts = ""-Xmx"" + (mapreduce.map.memory.mb - 200) + ""m""",behavior
209,mapreduce.jobhistory.store.class,mapreduce.jobhistory.webapp.address,mapreduce.jobhistory.store.class != null => mapreduce.jobhistory.webapp.address != null,behavior
62,mapreduce.reduce.memory.mb,mapred.child.java.opts,"mapred.child.java.opts in { ""-Xmx"" + mapreduce.reduce.memory.mb + ""m"" } => mapreduce.reduce.memory.mb = ANY",behavior
82,mapreduce.reduce.markreset.buffer.percent,mapreduce.task.io.sort.mb,mapreduce.reduce.markreset.buffer.percent in {{0.3..0.7}} => mapreduce.task.io.sort.mb in {{100..500}},behavior
30,mapreduce.job.split.metainfo.maxsize,mapreduce.map.java.opts,"mapreduce.job.split.metainfo.maxsize > default => mapreduce.map.java.opts in {{-Xmx1024m, -Xmx2048m, -Xmx4096m}}",behavior
163,mapreduce.framework.name,yarn.app.mapreduce.am.resource.mb,mapreduce.framework.name = 'yarn' => yarn.app.mapreduce.am.resource.mb > 0,behavior
42,mapreduce.output.fileoutputformat.compress,mapreduce.map.output.compress,mapreduce.output.fileoutputformat.compress = true => mapreduce.map.output.compress != null,behavior
94,mapreduce.job.speculative.retry-after-speculate,mapreduce.job.speculative.speculative-cap-total-tasks,mapreduce.job.speculative.retry-after-speculate > 0 => mapreduce.job.speculative.speculative-cap-total-tasks > 0,behavior
52,mapreduce.reduce.memory.mb,mapreduce.reduce.java.opts,mapreduce.reduce.memory.mb > X => mapreduce.reduce.java.opts < X - overhead,behavior
208,mapreduce.jobhistory.store.class,mapreduce.jobhistory.address,mapreduce.jobhistory.store.class != null => mapreduce.jobhistory.address != null,behavior
15,mapreduce.task.timeout,mapreduce.reduce.shuffle.connect.timeout,mapreduce.task.timeout > 0 => mapreduce.reduce.shuffle.connect.timeout < mapreduce.task.timeout,behavior
212,mapreduce.jobhistory.recovery.store.class,mapreduce.jobhistory.recovery.store.factor,mapreduce.jobhistory.recovery.store.class != null => mapreduce.jobhistory.recovery.store.factor > 0,behavior
195,mapreduce.jobhistory.address,mapreduce.jobhistory.done-dir,mapreduce.jobhistory.address != null => mapreduce.jobhistory.done-dir != null,behavior
3,mapreduce.job.running.map.limit,mapreduce.job.max.map,mapreduce.job.running.map.limit <= 0 => mapreduce.job.max.map < 0,behavior
80,mapreduce.job.end-notification.retry.interval,mapreduce.job.end-notification.retry.attempts,mapreduce.job.end-notification.retry.attempts > 0 => mapreduce.job.end-notification.retry.interval != null,behavior
117,mapreduce.map.output.compress,mapreduce.map.output.compress.codec,<Dependency> ::= <Variable> = <Boolean> => <Variable> = <String>,behavior
1,mapreduce.task.io.sort.factor,mapreduce.task.io.sort.mb,mapreduce.task.io.sort.factor > 10 => mapreduce.task.io.sort.mb > 2048,behavior
140,mapreduce.reduce.skip.maxgroups,mapreduce.task.skip.start.attempts,mapreduce.reduce.skip.maxgroups > 0 => mapreduce.task.skip.start.attempts > 0,behavior
214,mapreduce.jobhistory.recovery.store.fs.uri,mapreduce.jobhistory.recovery.store.class,mapreduce.jobhistory.recovery.store.fs.uri != null => mapreduce.jobhistory.recovery.store.class != null,behavior
198,mapreduce.jobhistory.intermediate-done-dir,mapreduce.jobhistory.done-dir,mapreduce.jobhistory.intermediate-done-dir != null => mapreduce.jobhistory.done-dir != null,behavior
89,mapreduce.job.speculative.speculative-cap-running-tasks,mapreduce.job.speculative.minimum-allowed-tasks,mapreduce.job.speculative.minimum-allowed-tasks > 0 => mapreduce.job.speculative.speculative-cap-running-tasks > 0,behavior
182,mapreduce.framework.name,mapreduce.cluster.temp.dir,"mapreduce.framework.name = ""local"" => mapreduce.cluster.temp.dir = ""${hadoop.tmp.dir}/mapred/temp""",control
41,mapreduce.output.fileoutputformat.compress,mapreduce.output.fileoutputformat.compress.codec,mapreduce.output.fileoutputformat.compress = true => mapreduce.output.fileoutputformat.compress.codec != null,control
84,mapreduce.map.speculative,mapreduce.job.speculative.speculative-cap-running-tasks,mapreduce.map.speculative = true => mapreduce.job.speculative.speculative-cap-running-tasks > 0,control
101,mapreduce.jobhistory.recovery.enable,mapreduce.jobhistory.recovery.store.class,mapreduce.jobhistory.recovery.enable = true => mapreduce.jobhistory.recovery.store.class != null,control
93,mapreduce.application.classpath,mapreduce.job.classloader,mapreduce.application.classpath != null => mapreduce.job.classloader = true,control
37,mapreduce.job.ubertask.enable,mapreduce.job.ubertask.maxreduces,mapreduce.job.ubertask.enable = true => mapreduce.job.ubertask.maxreduces != null,control
62,mapreduce.ifile.readahead,mapreduce.ifile.readahead.bytes,mapreduce.ifile.readahead = true => mapreduce.ifile.readahead.bytes != null,control
185,mapreduce.framework.name,mapreduce.application.classpath,"mapreduce.framework.name = ""yarn"" => mapreduce.application.classpath = ""${HADOOP_MAPRED_HOME}/share/hadoop/mapreduce/*:${HADOOP_MAPRED_HOME}/share/hadoop/mapreduce/lib/*""",control
163,mapreduce.map.skip.proc-count.auto-incr,mapreduce.task.skip.start.attempts,mapreduce.task.skip.start.attempts > 0 => mapreduce.map.skip.proc-count.auto-incr = true,control
23,mapreduce.job.max.map,mapreduce.job.max.reduce,mapreduce.job.max.map > 0 => mapreduce.job.max.reduce > 0,control
